2850	x	LARHYP	Larus hyperboreus	Isolokki	Vittrut	Glaucous Gull
2860		LARMAR	Larus marinus	Merilokki	Havstrut	Great Black-backed Gull
2870	x	Lahko	Pteroclidiformes	Hietakanalinnut		
2890	x	SYRPAR	Syrrhaptes paradoxus	Arokyyhky	Stäppflyghöna	Pallas's Sandgrouse
2900		Lahko	Columbiformes	Kyyhkylinnut		
2920		COLLIV	Columba livia	Kesykyyhky (pulu)	Klippduva	Common Pigeon
2930		COLOEN	Columba oenas	Uuttukyyhky	Skogsduva	Stock Dove
2940		COLPAL	Columba palumbus	Sepelkyyhky	Ringduva	Common Wood Pigeon
2950	x	STRDEC	Streptopelia decaocto	Turkinkyyhky	Turkduva	Eurasian Collared Dove
2960	x	STRTUR	Streptopelia turtur	Turturikyyhky	Turturduva	European Turtle Dove
2970	x	STRORI	Streptopelia orientalis	Idänturturikyyhky	Större turturduva	Oriental Turtle Dove
2980		Lahko	Cuculiformes	Käkilinnut		
3000	x	CLAGLA	Clamator glandarius	Harakkakäki	Skatgök	Great Spotted Cuckoo
3010		CUCCAN	Cuculus canorus	Käki	Gök	Common Cuckoo
3020	x	CUCSAT	Cuculus saturatus	Idänkäki	Tajgagök	Oriental Cuckoo
3030		Lahko	Strigiformes	 Pöllölinnut		
3050	x	TYTALB	Tyto alba	Tornipöllö	Tornuggla	Barn Owl
3070	x	OTUSCO	Otus scops	Kyläpöllönen	Dvärguv	Eurasian Scops Owl
3080		BUBBUB	Bubo bubo	Huuhkaja	Berguv	Eurasian Eagle Owl
3090	x	BUBSCA	Bubo scandiacus	Tunturipöllö	Fjälluggla	Snowy Owl
3100		SURULU	Surnia ulula	Hiiripöllö	Hökuggla	Northern Hawk Owl
3110		GLAPAS	Glaucidium passerinum	Varpuspöllö	Sparvuggla	Eurasian Pygmy Owl
3120	x	ATHNOC	Athene noctua	Minervanpöllö	Minervauggla	Little Owl
3130		STRALU	Strix aluco	Lehtopöllö	Kattuggla	Tawny Owl
3140		STRURA	Strix uralensis	Viirupöllö	Slaguggla	Ural Owl
3150		STRNEB	Strix nebulosa	Lapinpöllö	Lappuggla	Great Grey Owl
3160		ASIOTU	Asio otus	Sarvipöllö	Hornuggla	Long-eared Owl
3170		ASIFLA	Asio flammeus	Suopöllö	Jorduggla	Short-eared Owl
3180		AEGFUN	Aegolius funereus	Helmipöllö	Pärluggla	Boreal Owl
3190		Lahko	Caprimulgiformes	Kehrääjälinnut		
3210		CAPEUR	Caprimulgus europaeus	Kehrääjä	Nattskärra	European Nightjar
3220		Lahko	Apodiformes	Kirskulinnut		
3240	x	HIRCAU	Hirundapus caudacutus	Piikkipyrstökiitäjä	Taggstjärtseglare	White-throated Needletail
3250		APUAPU	Apus apus	Tervapääsky	Tornseglare	Common Swift
3260	x	APUPAL	Apus pallidus	Vaaleakiitäjä	Blek tornseglare	Pallid Swift
3270	x	APUMEL	Apus melba	Alppikiitäjä	Alpseglare	Alpine Swift
3280	x	APUCAF	Apus caffer	Häätökiitäjä	Kafferseglare	White-rumped Swift
3290	x	Lahko	Coraciiformes	Säihkylinnut		
3310	x	ALCATT	Alcedo atthis	Kuningaskalastaja	Kungsfiskare	Common Kingfisher
3330	x	MERAPI	Merops apiaster	Mehiläissyöjä	Biätare	European Bee-eater
